NC_001568.1	Orobanchaceae
NC_001631.1	Pinaceae
NC_004543.1	Anthocerotaceae
NC_005353.1	Chlamydomonadaceae
NC_006861.1	Lycopodiaceae
NC_007499.1	Orchidaceae
NC_007578.1	Asteraceae
NC_007944.1	Malvaceae
NC_008097.1	Characeae
NC_008114.1	Tupiellaceae
NC_008115.1	Myrtaceae
NC_008116.1	Desmidiaceae
NC_008117.1	Zygnemataceae
NC_008235.1	Salicaceae
NC_008335.1	Platanaceae
NC_008456.1	Winteraceae
NC_008457.1	Piperaceae
NC_008590.1	Poaceae
NC_009268.1	Brassicaceae
NC_009275.1	Brassicaceae
NC_009600.1	Schisandraceae
NC_009601.1	Dioscoreaceae
NC_009808.1	Convolvulaceae
NC_009950.1	Poaceae
NC_010093.1	Acoraceae
NC_010361.1	Onagraceae
NC_010433.1	Euphorbiaceae
NC_010442.1	Campanulaceae
NC_010548.1	Cupressaceae
NC_011031.1	Oedogoniaceae
NC_011153.4	Pinaceae
NC_011154.4	Pinaceae
NC_011155.4	Pinaceae
NC_011158.4	Pinaceae
NC_011713.2	Poaceae
NC_011828.1	Fabaceae
NC_011942.1	Gnetaceae
NC_012818.1	Cyatheaceae
NC_012978.1	Chlorellaceae
NC_013273.1	Poaceae
NC_013359.1	Bryopsidaceae
NC_013553.1	Asteraceae
NC_013707.2	Oleaceae
NC_014346.1	Chaetopeltidaceae
NC_014575.1	Pinaceae
NC_014592.1	Pteridaceae
NC_014674.1	Fagaceae
NC_015083.1	Geraniaceae
NC_015605.1	Nelumbonaceae
NC_015621.1	Asteraceae
NC_015894.1	Araceae
NC_015899.1	Araceae
NC_016064.1	Pinaceae
NC_016068.1	Solanaceae
NC_016430.1	Araliaceae
NC_016699.1	Poaceae
NC_016733.1	Pedinomonadaceae
NC_016753.1	Araceae
NC_016927.1	Poaceae
NC_017835.1	Poaceae
NC_017894.1	Malvaceae
NC_018051.1	Fabaceae
NC_018117.1	Solanaceae
NC_018541.1	Hydrocharitaceae
NC_018552.1	Solanaceae
NC_019601.1	Rosaceae
NC_020147.1	Ophioglossaceae
NC_020317.1	Magnoliaceae
NC_020341.1	Poaceae
NC_020607.1	Asteraceae
NC_021439.1	Pinaceae
NC_021440.1	Pinaceae
NC_021456.1	Pinaceae
NC_021648.1	Fabaceae
NC_021649.1	Fabaceae
NC_021761.1	Poaceae
NC_021762.1	Poaceae
NC_022135.1	Poaceae
NC_022136.1	Lygodiaceae
NC_022137.1	Marsileaceae
NC_022380.1	Myrtaceae
NC_022381.1	Myrtaceae
NC_022386.1	Myrtaceae
NC_022388.1	Myrtaceae
NC_022389.1	Myrtaceae
NC_022390.1	Myrtaceae
NC_022391.1	Myrtaceae
NC_022408.1	Myrtaceae
NC_022413.1	Myrtaceae
NC_022432.1	Apocynaceae
NC_022459.1	Theaceae
NC_022460.1	Theaceae
NC_022461.1	Theaceae
NC_022463.1	Theaceae
NC_022715.2	Melanthiaceae
NC_022958.1	Poaceae
NC_023086.1	Penthoraceae
NC_023097.1	Poaceae
NC_023216.1	Malvaceae
NC_023218.1	Malvaceae
NC_023239.1	Magnoliaceae
NC_023260.1	Geraniaceae
NC_023357.1	Caryophyllaceae
NC_023358.1	Caryophyllaceae
NC_023360.1	Caryophyllaceae
NC_023801.1	Fagaceae
NC_023805.1	Podocarpaceae
NC_023833.1	Asteraceae
NC_023956.1	Rosaceae
NC_023959.1	Fagaceae
NC_024019.1	Orchidaceae
NC_024038.1	Fabaceae
NC_024106.1	Poaceae
NC_024262.1	Poaceae
NC_024286.1	Asteraceae
NC_024291.1	Tetraphidaceae
NC_024608.1	Poaceae
NC_024660.1	Theaceae
NC_024663.1	Theaceae
NC_024668.1	Poaceae
NC_024669.1	Poaceae
NC_024717.1	Poaceae
NC_024718.1	Poaceae
NC_024722.1	Poaceae
NC_024728.1	Liliaceae
NC_024732.1	Campanulaceae
NC_024736.1	Liliaceae
NC_024811.1	Bathycoccaceae
NC_024813.1	Amaryllidaceae
NC_024815.1	Poaceae
NC_024827.1	Podocarpaceae
NC_025288.1	Proteaceae
NC_025524.1	Trebouxiaceae
NC_025532.1	Trebouxiaceae
NC_025533.1	Trebouxiaceae
NC_025534.1	Xylochloris
NC_025537.1	Microthamniaceae
NC_025538.1	Ulotrichaceae
NC_025542.1	Klebsormidiaceae
NC_025549.1	Chlorellaceae
NC_025554.1	Sapindaceae
NC_025642.1	Orobanchaceae
NC_025651.1	Orobanchaceae
NC_025653.1	Lentibulariaceae
NC_025772.2	Moraceae
NC_025910.1	Asteraceae
NC_026076.1	Paeoniaceae
NC_026447.1	Araliaceae
NC_026562.1	Cannabaceae
NC_026565.1	Chloranthaceae
NC_026568.1	Orchidaceae
NC_026679.1	Fabaceae
NC_026685.1	Fabaceae
NC_026703.1	Convolvulaceae
NC_026773.1	Orchidaceae
NC_026776.1	Orchidaceae
NC_026777.1	Orchidaceae
NC_026778.1	Orchidaceae
NC_026790.1	Fagaceae
NC_026847.1	Geraniaceae
NC_026879.1	Solanaceae
NC_026906.1	Solanaceae
NC_027074.1	Fabaceae
NC_027076.1	Fabaceae
NC_027077.1	Fabaceae
NC_027148.1	Fabaceae
NC_027155.1	Fabaceae
NC_027161.1	Polygonaceae
NC_027184.1	Poaceae
NC_027226.1	Amaranthaceae
NC_027235.1	Araucariaceae
NC_027259.1	Lamiaceae
NC_027262.1	Lamiaceae
NC_027425.1	Salicaceae
NC_027462.1	Poaceae
NC_027607.1	Araliaceae
NC_027668.1	Amaranthaceae
NC_027675.1	Liliaceae
NC_027676.1	Poaceae
NC_027728.1	Polygonaceae
NC_027743.1	Orchidaceae
NC_027829.1	Viscaceae
NC_027939.1	Rutaceae
NC_027941.1	Piperaceae
NC_027954.2	Araceae
NC_028027.1	Asteraceae
NC_028066.1	Elaeagnaceae
NC_028067.1	Celastraceae
NC_028074.1	Lauraceae
NC_028149.1	Orchidaceae
NC_028155.1	Cupressaceae
NC_028409.1	Myrtaceae
NC_028415.1	Brassicaceae
NC_028422.1	Orchidaceae
NC_028430.1	Orchidaceae
NC_028439.1	Musaceae
NC_028542.1	Dryopteridaceae
NC_028579.1	Mychonastaceae
NC_028584.1	Characiochloridaceae
